,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.223679,0.0,0.0,0.0,0.0,0.0,785.97217,0.0,796.65173,0.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.79792,0.061223127,4.674389,0.6519626,0.6519626,0.0,434.28864,0.0,432.82718,0.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,14.952461,0.07400828,5.30577,0.49034187,0.49034187,0.0,333.08215,0.0,332.1547,0.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.384817,0.10954683,4.17745,0.38049877,0.38049877,0.0,264.46658,0.0,263.44168,0.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,21.33774,0.065439954,4.1228848,0.3075959,0.3075959,0.0,221.03389,0.0,220.12599,0.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,23.74031,0.11915853,4.697609,0.26509875,0.26509875,0.0,190.86594,0.0,189.9984,0.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,26.254433,0.09023903,4.6594114,0.22226174,0.22226174,0.0,163.1063,0.0,162.57411,0.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,28.08159,0.11948184,5.152522,0.19955888,0.19955888,0.0,147.76173,0.0,147.40298,0.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,30.16904,0.12475454,5.934547,0.17737786,0.17737786,0.0,131.23244,0.0,131.11528,0.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,31.948978,0.09868183,5.121416,0.16038331,0.16038331,0.0,119.66042,0.0,119.591095,0.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,33.65454,0.08357159,5.216498,0.14519916,0.14519916,0.0,108.77149,0.0,108.71808,0.0
11,10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,35.039017,0.0776698,4.743699,0.13468593,0.13468593,0.0,102.35313,0.0,102.32479,0.0
12,11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,36.410126,0.080214806,4.9470654,0.12717874,0.12717874,0.0,96.18321,0.0,96.210175,0.0
13,12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,37.712803,0.08615114,5.2914915,0.11986943,0.11986943,0.0,91.01233,0.0,91.06781,0.0
14,13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,38.859848,0.09002429,5.3432593,0.113417536,0.113417536,0.0,86.90166,0.0,86.988266,0.0
