epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.2542255,0.0,0.0,0.0,0.0,0.0,785.97217,0.0,796.65173,0.0
0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.0643787,0.028150398,4.239687,0.6519626,0.6519626,0.0,434.28864,0.0,432.82718,0.0
1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.6218095,0.05946322,4.254587,0.49034187,0.49034187,0.0,333.08215,0.0,332.1547,0.0
2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.535963,0.10106477,4.259533,0.38049877,0.38049877,0.0,264.46658,0.0,263.44168,0.0
3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.044115,0.05394616,4.232705,0.3075959,0.3075959,0.0,221.03389,0.0,220.12599,0.0
4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.365308,0.11351261,4.353318,0.26509875,0.26509875,0.0,190.86594,0.0,189.9984,0.0
5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.747608,0.08426757,4.360932,0.22226174,0.22226174,0.0,163.1063,0.0,162.57411,0.0
6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.866717,0.11571385,4.3249574,0.19955888,0.19955888,0.0,147.76173,0.0,147.40298,0.0
7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.222068,0.12159098,4.314766,0.17737786,0.17737786,0.0,131.23244,0.0,131.11528,0.0
8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.390939,0.095996544,4.4079375,0.16038331,0.16038331,0.0,119.66042,0.0,119.591095,0.0
