epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.2542255,0.0,0.0,0.0,0.0,0.0,776.49664,0.0,796.65173,0.0
0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.4023724,0.098513134,0.48843002,0.8484718,0.8484718,0.0,569.1918,0.0,573.20496,0.0
1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.248715,0.041899167,0.46900296,0.71093494,0.71093494,0.0,549.69666,0.0,553.7246,0.0
2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.353092,0.04691111,0.51675534,0.691538,0.691538,0.0,525.8995,0.0,530.9342,0.0
3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,4.815018,0.0345296,0.4382701,0.6461803,0.6461803,0.0,494.90723,0.0,502.1486,0.0
4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.0077543,0.021552559,0.45006776,0.62592894,0.62592894,0.0,484.3554,0.0,491.9895,0.0
5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.307096,0.033893716,0.43981028,0.60741156,0.60741156,0.0,468.00684,0.0,476.2909,0.0
6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.6206403,0.019552179,0.49328613,0.58486384,0.58486384,0.0,449.70062,0.0,458.30313,0.0
7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.7349434,0.018262384,0.637758,0.56948274,0.56948274,0.0,442.23526,0.0,450.78235,0.0
8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.9282203,0.041916896,0.47157407,0.56003815,0.56003815,0.0,432.74866,0.0,441.20813,0.0
9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.097789,0.028950274,0.45591092,0.546024,0.546024,0.0,424.005,0.0,432.49747,0.0
10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.936765,0.5399163,0.7748289,0.46228132,0.46228132,0.0,270.64453,0.0,285.60242,0.0
11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.8612614,0.40386438,0.729929,0.28838453,0.28838453,0.0,204.46625,0.0,214.98575,0.0
12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.794828,0.48728532,0.7494936,0.21882169,0.21882169,0.0,157.1756,0.0,164.53471,0.0
13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.7280636,0.43533847,1.2243583,0.17868988,0.17868988,0.0,127.34742,0.0,133.98384,0.0
14.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.6784625,0.71349055,0.8377614,0.17360976,0.17360976,0.0,115.044266,0.0,120.899605,0.0
15.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.6456223,0.4611688,0.70939493,0.122648425,0.122648425,0.0,96.67567,0.0,102.22268,0.0
16.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.5576525,0.7767232,0.7022941,0.35954535,0.35954535,0.0,112.25579,0.0,116.46399,0.0
17.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.5164647,0.9999995,0.8715923,0.12697783,0.12697783,0.0,84.04671,0.0,88.45813,0.0
18.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.4998484,0.44989535,0.6963248,0.08751642,0.08751642,0.0,65.971085,0.0,69.88491,0.0
19.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.491026,0.99999905,0.8092365,0.081636615,0.081636615,0.0,66.8472,0.0,70.58079,0.0
20.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.495398,0.99999946,0.6991167,0.09643338,0.09643338,0.0,79.84774,0.0,83.14184,0.0
21.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.455957,0.73386747,0.7119646,0.19507173,0.19507173,0.0,64.02367,0.0,66.992035,0.0
