,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.223679,0.0,0.0,0.0,0.0,0.0,782.6538,0.0,796.65173,0.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.425697,0.050952815,2.1602309,0.7133626,0.7133626,0.0,492.62683,0.0,493.96173,0.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.789945,0.051611923,2.2261205,0.5843623,0.5843623,0.0,432.03003,0.0,433.1453,0.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.9068575,0.05027572,2.2283182,0.5255543,0.5255543,0.0,377.31775,0.0,378.3238,0.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,14.930007,0.052498322,2.1882687,0.44695196,0.44695196,0.0,330.64044,0.0,331.1433,0.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,16.42497,0.059148107,2.2081969,0.40168667,0.40168667,0.0,300.26346,0.0,300.4679,0.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.068693,0.06913924,2.1922786,0.36565092,0.36565092,0.0,270.30426,0.0,270.0086,0.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,19.573498,0.059694357,2.486787,0.3271545,0.3271545,0.0,244.58382,0.0,244.24954,0.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,20.962166,0.075089626,2.1846342,0.3017685,0.3017685,0.0,225.66919,0.0,225.3236,0.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,22.362116,0.08226736,2.7977211,0.27508342,0.27508342,0.0,208.49834,0.0,208.07976,0.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,23.683378,0.10024097,2.5184708,0.25656286,0.25656286,0.0,190.63062,0.0,189.9282,0.0
11,10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,25.075338,0.090139456,2.3169057,0.23291424,0.23291424,0.0,173.95374,0.0,173.30975,0.0
12,11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,26.044256,0.09026123,2.2708414,0.21701209,0.21701209,0.0,166.57414,0.0,166.1648,0.0
13,12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,27.002972,0.08743645,2.342217,0.20669395,0.20669395,0.0,157.93764,0.0,157.79535,0.0
14,13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,27.964407,0.08915788,2.24008,0.1945006,0.1945006,0.0,149.1078,0.0,149.22168,0.0
15,14.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,28.881132,0.089548245,2.2205286,0.18588462,0.18588462,0.0,142.34349,0.0,142.49062,0.0
16,15.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,29.848316,0.07756817,2.2871537,0.17729846,0.17729846,0.0,134.60886,0.0,134.79419,0.0
17,16.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,30.921936,0.072325535,2.3304694,0.16474101,0.16474101,0.0,125.6027,0.0,125.881256,0.0
18,17.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,31.765244,0.06490801,2.5119288,0.15726519,0.15726519,0.0,119.76711,0.0,120.05243,0.0
19,18.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,32.648636,0.06754229,2.5004425,0.14861651,0.14861651,0.0,114.022766,0.0,114.32044,0.0
20,19.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,33.403824,0.067192025,2.7865024,0.14294735,0.14294735,0.0,110.18801,0.0,110.46399,0.0
21,20.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,34.116768,0.06540658,2.4983995,0.13827099,0.13827099,0.0,106.60924,0.0,106.88887,0.0
22,21.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,34.756165,0.06908631,2.4640946,0.13457859,0.13457859,0.0,103.85714,0.0,104.093605,0.0
23,22.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,35.41409,0.070595995,2.4366732,0.13067101,0.13067101,0.0,101.055626,0.0,101.27158,0.0
24,23.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,36.09631,0.067909196,2.5430446,0.12708141,0.12708141,0.0,97.22144,0.0,97.42022,0.0
25,24.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,36.761818,0.06594972,2.4789982,0.12220939,0.12220939,0.0,94.203156,0.0,94.399055,0.0
26,25.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,37.33097,0.065878995,2.7018003,0.11935008,0.11935008,0.0,92.50616,0.0,92.72031,0.0
27,26.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,37.965263,0.062116094,2.2209115,0.11675657,0.11675657,0.0,89.78252,0.0,90.01773,0.0
28,27.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,38.594414,0.058716625,2.4015405,0.113381565,0.113381565,0.0,87.319885,0.0,87.54583,0.0
29,28.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,39.192547,0.056646887,2.3276432,0.11065357,0.11065357,0.0,85.48496,0.0,85.723045,0.0
30,29.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,39.845585,0.06338449,2.456492,0.10768619,0.10768619,0.0,82.48903,0.0,82.69105,0.0
31,30.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,40.46374,0.06839549,2.3687587,0.10423671,0.10423671,0.0,80.34741,0.0,80.57441,0.0
32,31.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,41.072094,0.07211258,2.337545,0.10154836,0.10154836,0.0,78.1911,0.0,78.43209,0.0
33,32.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,41.66883,0.07569919,2.339632,0.0988657,0.0988657,0.0,76.28111,0.0,76.56138,0.0
34,33.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,42.26487,0.07360234,2.2441244,0.0965579,0.0965579,0.0,74.503426,0.0,74.8223,0.0
35,34.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,42.81622,0.078601755,2.9927726,0.094387874,0.094387874,0.0,73.19983,0.0,73.53465,0.0
36,35.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,43.35336,0.08086708,2.2135065,0.09279826,0.09279826,0.0,71.83873,0.0,72.18219,0.0
37,36.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,43.89202,0.08205457,2.26885,0.090932846,0.090932846,0.0,70.407684,0.0,70.77927,0.0
38,37.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,44.379726,0.08070152,2.3871608,0.089310795,0.089310795,0.0,69.2625,0.0,69.63845,0.0
39,38.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,44.83737,0.07976759,2.3436575,0.08788732,0.08788732,0.0,68.37942,0.0,68.754234,0.0
40,39.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,45.287895,0.075198695,2.4160511,0.08678204,0.08678204,0.0,67.34064,0.0,67.70701,0.0
41,40.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,45.752827,0.07174392,2.4271772,0.085270375,0.085270375,0.0,66.27094,0.0,66.62063,0.0
42,41.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,46.163742,0.07138965,2.2168262,0.08415313,0.08415313,0.0,65.648285,0.0,65.99843,0.0
43,42.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,46.55014,0.06951956,2.174422,0.08342065,0.08342065,0.0,64.97319,0.0,65.3329,0.0
44,43.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,46.97261,0.07468325,2.1975195,0.08239617,0.08239617,0.0,64.07978,0.0,64.45677,0.0
45,44.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,47.36612,0.07352006,2.187058,0.08148375,0.08148375,0.0,63.4781,0.0,63.85838,0.0
46,45.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,47.75641,0.0704153,2.1946747,0.08071402,0.08071402,0.0,62.946915,0.0,63.324207,0.0
