epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,3.2542255,0.0,0.0,0.0,0.0,0.0,784.75757,0.0,796.65173,0.0
0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.259294,0.05915279,21.280664,0.41487008,0.41487008,0.0,190.06749,0.0,189.88985,0.0
1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.481395,0.055297047,21.721092,0.18033257,0.18033257,0.0,111.30096,0.0,111.42109,0.0
2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.145634,0.09550854,23.58491,0.12106987,0.12106987,0.0,81.64276,0.0,81.787,0.0
3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.541922,0.099454194,23.914894,0.09310978,0.09310978,0.0,66.40397,0.0,66.506996,0.0
4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.606802,0.086115316,22.363913,0.07996234,0.07996234,0.0,58.935356,0.0,59.02827,0.0
5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.849547,0.07196837,22.14508,0.07079852,0.07079852,0.0,53.09379,0.0,53.142227,0.0
6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.978047,0.06913263,22.084728,0.06466095,0.06466095,0.0,49.069633,0.0,49.105724,0.0
7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.18383,0.056416128,22.134853,0.060014274,0.060014274,0.0,45.64102,0.0,45.65429,0.0
8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.367639,0.06710072,22.067795,0.05660816,0.05660816,0.0,43.237774,0.0,43.25371,0.0
9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.392684,0.06885453,23.83675,0.054276098,0.054276098,0.0,41.906837,0.0,41.916164,0.0
10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.756133,0.056252066,37.592896,0.048977986,0.048977986,0.0,37.272446,0.0,37.302204,0.0
11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.00248,0.06282463,34.99185,0.04509514,0.04509514,0.0,34.78297,0.0,34.82295,0.0
12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.08924,0.06975713,35.162483,0.043124713,0.043124713,0.0,33.58291,0.0,33.624634,0.0
13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.148008,0.07401791,34.8742,0.042040203,0.042040203,0.0,32.76295,0.0,32.801514,0.0
14.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.189765,0.07944632,36.09568,0.04105406,0.04105406,0.0,32.09825,0.0,32.1346,0.0
15.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.227685,0.0761807,41.35291,0.040440258,0.040440258,0.0,31.613197,0.0,31.648388,0.0
16.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.213776,0.06329942,35.240936,0.039990325,0.039990325,0.0,31.353548,0.0,31.387365,0.0
17.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.209235,0.061641604,36.305588,0.039660808,0.039660808,0.0,31.08792,0.0,31.11658,0.0
18.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.209767,0.051993944,36.360462,0.040648594,0.040648594,0.0,31.788883,0.0,31.817593,0.0
19.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.198685,0.054424617,33.23877,0.039110728,0.039110728,0.0,30.630133,0.0,30.651793,0.0
20.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.190288,0.04797075,37.29701,0.03883859,0.03883859,0.0,30.454023,0.0,30.474798,0.0
21.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.184461,0.048402935,35.462795,0.038613,0.038613,0.0,30.3011,0.0,30.323505,0.0
22.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.182726,0.053904645,33.281387,0.03840143,0.03840143,0.0,30.134163,0.0,30.159594,0.0
23.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.182391,0.052010372,34.269653,0.03818746,0.03818746,0.0,29.926033,0.0,29.954744,0.0
24.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.189266,0.05252417,34.055557,0.040837295,0.040837295,0.0,31.969059,0.0,32.08436,0.0
25.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.196202,0.055182427,34.957092,0.03868689,0.03868689,0.0,30.305708,0.0,30.347702,0.0
26.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.198302,0.054054096,35.30738,0.0383913,0.0383913,0.0,30.08152,0.0,30.118374,0.0
27.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.191681,0.055036034,39.14556,0.037387874,0.037387874,0.0,29.278051,0.0,29.320154,0.0
28.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.18256,0.055213217,34.44729,0.03721803,0.03721803,0.0,29.154243,0.0,29.20069,0.0
29.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.168698,0.055296715,33.1818,0.03704328,0.03704328,0.0,29.01059,0.0,29.058865,0.0
30.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.151889,0.05894834,36.576668,0.036886927,0.036886927,0.0,28.909441,0.0,28.961632,0.0
31.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.137274,0.060554452,39.61738,0.036744256,0.036744256,0.0,28.803007,0.0,28.858812,0.0
32.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.119258,0.062021583,37.020885,0.03658104,0.03658104,0.0,28.666536,0.0,28.721933,0.0
33.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.103911,0.062000025,33.486313,0.036474314,0.036474314,0.0,28.60132,0.0,28.658165,0.0
34.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.091365,0.06163943,32.82258,0.036241695,0.036241695,0.0,28.483765,0.0,28.542536,0.0
35.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.080831,0.061718512,33.27431,0.03606225,0.03606225,0.0,28.323044,0.0,28.378128,0.0
