,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.223679,0.0,0.0,0.0,0.0,0.0,776.49664,0.0,796.65173,0.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.7451854,0.17711987,0.43613124,0.8484718,0.8484718,0.0,569.1918,0.0,573.20496,0.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,6.7210593,0.08854408,0.43707824,0.71093494,0.71093494,0.0,549.69666,0.0,553.7246,0.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,7.2038174,0.08173384,0.42904806,0.691538,0.691538,0.0,525.8995,0.0,530.9342,0.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.031855,0.072737984,0.43085217,0.6461803,0.6461803,0.0,494.90723,0.0,502.1486,0.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,8.49989,0.058595333,0.45538378,0.62592894,0.62592894,0.0,484.3554,0.0,491.9895,0.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.131882,0.06281582,0.44760633,0.60741156,0.60741156,0.0,468.00684,0.0,476.2909,0.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,9.785515,0.054361586,0.4474759,0.58486384,0.58486384,0.0,449.70062,0.0,458.30313,0.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.111502,0.05150507,0.43518186,0.56948274,0.56948274,0.0,442.23526,0.0,450.78235,0.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.531663,0.06439705,0.44991946,0.56003815,0.56003815,0.0,432.74866,0.0,441.20813,0.0
10,9.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,10.912871,0.05558437,0.43360114,0.546024,0.546024,0.0,424.005,0.0,432.49747,0.0
11,10.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.209387,0.04841452,0.43731308,0.53862834,0.53862834,0.0,418.86267,0.0,427.43726,0.0
12,11.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,11.66808,0.05736894,0.43928862,0.5292372,0.5292372,0.0,408.0327,0.0,416.7615,0.0
13,12.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.116138,0.061165255,0.43933773,0.51292384,0.51292384,0.0,397.13336,0.0,406.07413,0.0
14,13.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,12.466596,0.05830973,0.4422083,0.5016251,0.5016251,0.0,385.49435,0.0,394.14273,0.0
15,14.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.144346,0.06266664,0.484087,0.47787452,0.47787452,0.0,365.21014,0.0,373.26428,0.0
16,15.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,13.521111,0.05442788,0.43385124,0.458981,0.458981,0.0,352.03815,0.0,359.89087,0.0
17,16.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,14.061959,0.047328983,0.45995164,0.44227713,0.44227713,0.0,341.85516,0.0,349.4859,0.0
18,17.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,14.406083,0.05628988,0.4909525,0.43309176,0.43309176,0.0,335.7459,0.0,343.24942,0.0
19,18.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,14.78051,0.062767684,0.47015762,0.4247662,0.4247662,0.0,327.78928,0.0,335.04907,0.0
20,19.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,15.1712265,0.052848276,0.5518,0.4137579,0.4137579,0.0,320.25772,0.0,327.1897,0.0
21,20.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,15.445071,0.06247391,0.54623747,0.4059441,0.4059441,0.0,314.36743,0.0,321.23764,0.0
22,21.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,15.785672,0.067877136,0.5251956,0.39750633,0.39750633,0.0,306.83823,0.0,313.63333,0.0
23,22.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,16.12942,0.0787471,0.7276013,0.38764453,0.38764453,0.0,299.65247,0.0,306.22354,0.0
24,23.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,16.41643,0.07346066,0.48480773,0.37983245,0.37983245,0.0,294.07196,0.0,300.42746,0.0
25,24.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,16.770979,0.072444245,0.50203466,0.3717178,0.3717178,0.0,288.07614,0.0,294.16058,0.0
26,25.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,17.025993,0.080406696,0.5133598,0.36612344,0.36612344,0.0,284.9521,0.0,290.87207,0.0
27,26.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,17.271433,0.08731755,0.5226793,0.36228165,0.36228165,0.0,281.9775,0.0,287.72336,0.0
28,27.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,17.570557,0.07052234,0.50372887,0.35744116,0.35744116,0.0,277.16806,0.0,282.65576,0.0
29,28.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,17.924572,0.06575066,0.48711777,0.35017902,0.35017902,0.0,271.01285,0.0,276.21945,0.0
30,29.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.210804,0.065286554,0.50350785,0.34423605,0.34423605,0.0,268.27463,0.0,273.37616,0.0
31,30.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.46952,0.06308224,0.49661112,0.34067148,0.34067148,0.0,265.47598,0.0,270.49292,0.0
32,31.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,18.72332,0.06473592,0.5049131,0.3371086,0.3371086,0.0,262.3154,0.0,267.25494,0.0
