,epoch,lr,betas,betas,eps,weight_decay,amsgrad,maximize,foreach,capturable,differentiable,fused,decoupled_weight_decay,initial_lr,|params|,|grad|,time,obj,loss,acc,loss,acc,loss,acc
0,-1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,5.223679,0.0,0.0,0.0,0.0,0.0,784.75757,0.0,796.65173,0.0
1,0.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,23.846354,0.07126262,21.525179,0.41487008,0.41487008,0.0,190.06749,0.0,189.88985,0.0
2,1.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,33.447556,0.05995496,26.411327,0.18033257,0.18033257,0.0,111.30096,0.0,111.42109,0.0
3,2.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,40.142986,0.09731379,22.948074,0.12106987,0.12106987,0.0,81.64276,0.0,81.787,0.0
4,3.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,45.549347,0.10091177,24.686953,0.09310978,0.09310978,0.0,66.40397,0.0,66.506996,0.0
5,4.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,49.778584,0.087397024,25.232315,0.07996234,0.07996234,0.0,58.935356,0.0,59.02827,0.0
6,5.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,53.66168,0.073275074,29.56612,0.07079852,0.07079852,0.0,53.09379,0.0,53.142227,0.0
7,6.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,56.967907,0.070373945,26.248589,0.06466095,0.06466095,0.0,49.069633,0.0,49.105724,0.0
8,7.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,59.98572,0.057808574,23.651773,0.060014274,0.060014274,0.0,45.64102,0.0,45.65429,0.0
9,8.0,0.001,0.9,0.999,1e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,62.681946,0.06846141,22.180979,0.05660816,0.05660816,0.0,43.237774,0.0,43.25371,0.0
